solution_id,Rx,Ry,Clip,Entropy,SSIM,VQI,ranking_SMARTER,ranking_TOPSIS,ranking_Bellman_Zadeh,ranking_PROMETHEE_II,ranking_GRA,ranking_VIKOR,ranking_CODAS,ranking_MABAC,borda_score,global_rank
18,2.0,45.0,1.741558521161294,7.155340353150076,0.8827069651854317,52.609929521530105,0.5664606050942451,0.5669976999236149,0.3863771483435041,-0.07518435238484474,0.5460877644260613,-0.2308002548331624,0.08458670219355115,0.0247964914829788,232.0,35
59,2.0,37.0,1.7058631375605584,7.100528421052984,0.8901802099703663,51.92384516245288,0.5485705076995835,0.5601084524949609,0.35499404112558247,-0.11189147026438002,0.5410135580245058,-0.29772367201277905,0.08497732837544658,0.006906394088317058,207.0,36
58,2.0,31.0,1.3547374490945456,7.043457488100302,0.9127673753661332,50.19487873325711,0.5373955685831285,0.5570014061579858,0.275907062817817,-0.16539197391936822,0.5532917782149079,-0.35571248881374123,0.08950696647001206,-0.004268545028137838,200.0,37
57,5.0,15.0,2.11369587617386,7.114503986521033,0.8527244021470662,55.251404841012544,0.5434311708820031,0.5573768119260004,0.5068508203773525,-0.04111970253875019,0.5241622401846298,-0.2958803804993762,-0.052697068721183224,0.0017670572707365606,198.0,38
39,2.0,27.0,1.3252976464269677,7.033197855337729,0.9192856391633876,49.70703389346906,0.5365253548836866,0.5566549482317964,0.2535918960162154,-0.1755301221844369,0.5595770016497819,-0.3643505302636344,0.09111607731800425,-0.005138758727580017,196.0,39
53,2.0,25.0,1.2382855780771855,7.0034275467400615,0.9298099991502624,48.73958971489655,0.5283275167902474,0.5520807666715478,0.20933873096180322,-0.20088792336387465,0.5689208142404939,-0.3983158828582334,0.09356145797429286,-0.013336596821019175,192.0,40
9,13.0,7.0,3.115838961905756,7.212818742209995,0.7677266227281221,62.20815569057431,0.5488621025889222,0.5272647069687386,0.2985667001998442,0.13801047691226437,0.5519599675759931,-0.3826892728040465,0.08213816832634961,0.007197988977655778,187.0,41
43,14.0,2.0,1.7360291110756976,7.063289983487753,0.8888417950898264,52.15619762807812,0.5361467686060051,0.557396890264349,0.3656223876905339,-0.11770400773517206,0.5341282832698176,-0.3436132616902435,0.08422078549297664,-0.005517345005261354,180.0,42
3,2.0,57.0,1.6372683881960448,7.10600164651063,0.8846489063764976,51.869292019703295,0.5427912954752179,0.5517990686083752,0.3524986524677104,-0.1117293647100249,0.5356095583021829,-0.30291134288427796,0.08324204830175591,0.001127181863951443,179.0,43
16,2.0,42.0,1.212810522310388,6.95317952306959,0.9324503475072438,48.07947257403458,0.506151655291361,0.5414490802971443,0.1791434251893141,-0.2269252300701458,0.5641691206171429,-0.4687283686619148,0.09342472918057224,-0.035512458319905404,159.0,44
