image_id,degradation_type,front_size,hv_raw,hv_norm,spacing_raw,spacing_norm,range_H,range_SSIM,range_VIF
269,low_contrast,100,0.05153399878588826,0.7123947903721581,0.011614573257569398,0.028417585628592815,0.943082154863105,0.27651792216104354,0.23962515061217626
274,overexposure,100,0.029875274752133973,0.7645245981977681,0.007526140589422814,0.02336378381242619,0.6592486970268645,0.25625797869622813,0.19981398042354426
294,overexposure,100,0.02815558424698326,0.867745123649898,0.0015461778740818298,0.004864450730447326,0.3595819674856493,0.2361390714474535,0.3300948199151157
301,low_contrast,100,0.10693058023061992,0.6238516148151813,0.013819169746229485,0.023759277161627724,1.2445350609885608,0.3130640331980953,0.38002521259400335
305,underexposure,100,0.06156343394039998,0.6973741707105627,0.008848138285393561,0.02329585366920588,0.899666234448901,0.4202149501575405,0.201714055251341
313,skewed_histogram,100,0.007049982710876134,0.6710428438101499,0.0029632800919616002,0.01339631199023691,0.23526321778376502,0.17525452495027005,0.22011347629749567
332,underexposure,100,0.04179551203757544,0.6520246821890746,0.015678110404246447,0.03229749969251182,0.9167234348840454,0.4193858412754051,0.14402756514771664
34,poor_local_contrast,100,0.025164984441171493,0.7202590942408422,0.007396246902268248,0.021130135605857848,0.6979498381170153,0.24661786382314121,0.1753441479332566
342,low_contrast,100,0.12207696046532085,0.608464420704962,0.010753649431986654,0.01631574779456672,1.223943071948855,0.3077169852413627,0.4601696104732027
346,skewed_histogram,100,0.00639142634071399,0.6420671975262916,0.006449490713817086,0.029157244496477035,0.2908750184763109,0.16288677182640965,0.18149186685349483
350,poor_local_contrast,100,0.017990838503726833,0.735861538911949,0.005395357227949668,0.021907787389969628,0.4379792954288284,0.24576357724162512,0.1962078157492274
356,low_contrast,100,0.046966467920086394,0.6609539205055965,0.007844906105745,0.019866919941924015,0.9464370320800048,0.2847779400582229,0.22774599642965998
365,underexposure,100,0.058741137744209256,0.7953430435894127,0.018079250637375758,0.0466208844544906,0.9332363834949251,0.4378811068074242,0.156124873947863
377,poor_local_contrast,100,0.007512640294361389,0.6541031290588292,0.0020516801554297517,0.01010774078937411,0.18236311619407441,0.21003877245649705,0.25902518657449436
386,low_contrast,100,0.09195083446473343,0.6346458699424277,0.014300086467651392,0.027950955089239036,1.1408417347091602,0.28976327066315266,0.37860608013801955
391,overexposure,100,0.019233063149779562,0.7616330548623629,0.0030509767229431207,0.011198270678495293,0.3843156828470393,0.237657935143889,0.23883300860633683
406,skewed_histogram,100,0.01137412319368579,0.7379608706555919,0.0071365570417596695,0.028998252000863412,0.3893178432242763,0.20197088781389527,0.16932598580542824
435,low_contrast,100,0.16330656471092045,0.5695999006374062,0.0244670856136226,0.03813106996843086,1.341698137641707,0.30909360981614553,0.5972016480672389
436,skewed_histogram,100,0.02208293824514467,0.6367667423993444,0.006058523633767839,0.021734394716852345,0.6501817837774295,0.3496555102237865,0.13177511800364616
451,overexposure,100,0.025920639059923766,0.7573671811888452,0.01235634878316688,0.03878525986338727,0.5194983013227432,0.25555874800567047,0.22268780871067617
456,underexposure,100,0.04639554950159227,0.5949921627032071,0.01016152229237813,0.029860014345165324,0.9465979239207041,0.445958456301538,0.15956485036871393
469,skewed_histogram,100,0.009138250934524611,0.6756763571199078,0.004410155176366415,0.01947166333165802,0.297431908647825,0.18479985805999444,0.21255301435836882
472,low_contrast,100,0.16495495759156412,0.5655297693260279,0.016735853173126276,0.02127151135940025,1.3391143028793913,0.28616362775198845,0.6575214463130981
477,underexposure,100,0.07463054770129701,0.7850589677509341,0.012562625113912968,0.04332610948864121,0.8986133301155244,0.444147900459792,0.20575290826033243
48,poor_local_contrast,100,0.004572034804081838,0.6058852466645009,0.002705403758867045,0.0150271586478096,0.20148785370100875,0.19603861971488368,0.16502918172988523
49,skewed_histogram,100,0.027739738076186602,0.6526529322860268,0.008585696580305705,0.03568374068453955,0.6480253362827026,0.35077309672129287,0.16152282522432304
497,underexposure,97,0.04101117185842566,0.6230553041357666,0.010574346613208234,0.03260815016824143,0.947799187753688,0.4380460826770983,0.13695300035414815
508,skewed_histogram,100,0.013674560886155845,0.6224783152837191,0.004709263503746383,0.02453438399763691,0.47630842489083314,0.27133604659624777,0.14683362099430253
513,poor_local_contrast,100,0.00479302165985843,0.5979141519802402,0.002581430341267192,0.014170179569626355,0.2664672342058294,0.19917463681659464,0.13047425130409895
520,overexposure,100,0.011934163209279274,0.7377877655872154,0.00613942359127635,0.026212540369310932,0.32260021299080144,0.19799452901118642,0.2187634615198253
541,skewed_histogram,100,0.03799565481929047,0.6625682400504587,0.007117811002999737,0.022468863807415584,0.7432678803633301,0.3768069885718037,0.17687689569998089
550,overexposure,100,0.016879919288891012,0.7900687378670227,0.00548368864598576,0.018970903446608223,0.2920284601378027,0.21858678094825323,0.28912691219343234
551,skewed_histogram,100,0.011822822810797008,0.6883634587670351,0.004562813521340117,0.0176827866527427,0.35447711004071447,0.22358702966025779,0.1871977708188547
560,overexposure,100,0.02332616176017961,0.7661522405417643,0.0072353285835189815,0.024798365316709186,0.45499651130757535,0.2276453575439974,0.25391797452443166
64,overexposure,100,0.011202707710719479,0.7340609243553223,0.007737287194650576,0.025900615495227285,0.4577201756804046,0.21118316667061066,0.1363840703596244
84,overexposure,100,0.03565491524899846,0.804787950632728,0.008349720635586087,0.023286894796104806,0.5625869885703914,0.274830645659374,0.24752279706481028
99,overexposure,100,0.0157679946594165,0.7436374694954011,0.004703640073591352,0.020932654650423585,0.4330867660148652,0.23902981996317763,0.17693767050087106
