image_id,scheme,consensus_index,consensus_votes,SMARTER_selection,TOPSIS_selection,BellmanZadeh_selection,PROMETHEEII_selection,GRA_selection,VIKOR_selection,CODAS_selection,MABAC_selection
342,rs,16,4,16,51,61,4,16,66,16,16
342,equal,16,3,16,60,61,4,16,61,16,89
342,legacy,4,2,16,45,61,4,4,65,0,66
346,roc,11,2,11,91,5,51,4,51,4,11
346,rs,11,3,11,11,5,13,4,51,4,11
346,equal,11,2,11,98,5,13,68,51,68,11
346,legacy,98,2,11,98,5,13,98,51,68,12
350,roc,15,3,15,15,18,13,4,61,4,15
350,rs,15,3,15,15,18,9,4,61,4,15
350,equal,15,3,15,15,18,13,4,61,4,15
350,legacy,15,4,15,15,18,9,15,61,4,15
356,roc,88,3,88,93,77,0,88,27,3,88
356,rs,88,3,88,77,77,0,88,50,93,88
356,equal,88,2,88,56,77,39,88,77,71,57
356,legacy,88,1,88,56,77,2,39,48,43,44
365,roc,79,5,79,61,56,97,79,79,79,79
365,rs,79,4,79,41,56,97,79,79,61,79
365,equal,79,2,79,16,56,97,79,61,54,61
365,legacy,79,2,79,16,56,97,79,61,54,61
377,roc,40,2,40,52,46,38,4,62,4,40
377,rs,40,2,40,90,46,38,0,51,0,40
377,equal,46,2,40,4,46,38,0,46,0,38
377,legacy,0,2,40,36,46,38,0,62,0,79
386,roc,1,3,89,1,66,84,84,1,1,89
386,rs,89,2,89,32,66,4,84,27,1,89
386,equal,54,2,89,54,66,4,84,64,54,40
386,legacy,89,1,89,37,66,4,84,63,74,40
391,roc,40,2,40,21,47,65,3,29,3,40
391,rs,3,2,40,21,47,65,3,51,3,19
391,equal,3,2,40,78,47,65,3,96,3,72
391,legacy,3,2,40,78,47,65,3,22,3,72
406,roc,92,3,92,92,53,25,2,58,2,92
406,rs,92,3,92,92,53,57,2,58,2,92
406,equal,27,3,92,27,53,57,27,58,27,92
406,legacy,92,2,92,2,53,57,27,58,27,92
435,roc,2,5,2,20,10,2,2,2,0,2
435,rs,2,5,2,92,10,2,2,95,2,2
435,equal,2,4,2,34,10,2,2,10,2,95
435,legacy,2,3,2,81,10,2,2,91,11,95
436,roc,33,3,33,22,70,65,4,33,4,33
436,rs,33,2,33,22,70,65,4,40,4,33
436,equal,4,2,33,52,70,80,4,53,4,22
436,legacy,33,3,33,52,70,85,4,33,99,33
451,roc,1,5,1,1,63,75,1,63,1,1
451,rs,1,4,1,1,63,75,1,52,1,82
451,equal,1,4,1,98,63,75,1,63,1,1
451,legacy,1,4,1,1,63,75,1,63,1,58
456,roc,3,5,3,96,41,2,3,3,3,3
456,rs,3,3,3,93,41,2,98,3,69,3
456,equal,69,2,3,69,41,2,98,51,69,66
456,legacy,3,1,3,93,41,2,98,51,69,66
469,roc,41,2,41,99,24,46,7,84,7,41
469,rs,24,3,41,50,24,24,7,24,7,46
469,equal,24,3,41,50,24,24,7,24,7,46
469,legacy,24,2,41,50,24,76,7,24,7,46
472,roc,97,4,97,58,35,97,97,50,0,97
472,rs,97,4,97,76,35,3,97,76,97,97
472,equal,97,3,97,73,35,3,97,73,97,69
472,legacy,3,2,97,73,35,3,3,27,50,69
477,roc,34,4,34,39,88,39,34,34,4,34
477,rs,34,3,34,45,88,78,34,34,30,39
477,equal,34,1,34,14,88,78,4,45,2,39
477,legacy,39,2,34,14,88,78,39,45,2,39
48,roc,89,2,89,66,85,50,0,50,0,89
48,rs,0,2,89,66,85,72,0,65,0,50
48,equal,85,2,89,35,85,72,0,85,0,68
48,legacy,72,3,89,35,85,72,0,72,0,72
49,roc,69,3,69,69,42,7,3,26,3,69
49,rs,69,2,69,73,42,7,3,47,3,69
49,equal,69,2,69,25,42,55,3,42,24,69
49,legacy,69,2,69,25,42,7,3,26,24,69
497,roc,32,4,32,39,68,1,32,32,35,32
497,rs,32,3,32,69,68,1,32,35,89,32
497,equal,32,2,32,69,68,1,32,39,77,48
497,legacy,32,2,32,69,68,1,32,39,0,48
508,roc,42,2,42,12,34,5,2,68,2,42
508,rs,42,2,42,12,34,18,2,65,2,42
508,equal,42,1,42,67,34,5,83,45,9,12
508,legacy,42,1,42,67,34,11,83,90,9,12
513,roc,28,3,28,28,73,5,9,17,9,28
513,rs,28,3,28,28,73,72,9,71,9,28
513,equal,9,3,28,9,73,44,9,44,9,28
513,legacy,9,2,28,9,73,72,9,5,0,17
520,roc,5,4,5,94,96,40,5,40,5,5
520,rs,5,4,5,94,96,40,5,95,5,5
520,equal,5,5,5,5,96,22,5,32,5,5
520,legacy,5,4,5,5,96,32,5,32,5,22
541,roc,33,3,33,66,28,53,33,69,48,33
541,rs,33,2,33,93,28,7,33,69,48,32
541,equal,94,2,33,94,28,30,48,32,94,32
541,legacy,32,2,33,45,28,30,48,32,63,32
550,roc,57,3,57,55,52,57,1,58,1,57
550,rs,57,3,57,55,52,57,1,32,1,57
550,equal,31,3,57,31,52,57,31,52,31,84
550,legacy,52,3,57,97,52,52,31,52,31,84
551,roc,84,2,84,50,74,62,53,75,4,84
551,rs,84,2,84,44,74,62,53,18,53,84
551,equal,84,3,84,84,74,62,53,74,53,84
551,legacy,84,4,84,84,74,64,84,49,22,84
560,roc,31,2,31,60,21,54,3,16,3,31
560,rs,31,3,31,31,21,77,3,54,3,31
560,equal,31,2,31,99,21,54,3,79,3,31
560,legacy,31,2,31,99,21,62,3,16,3,31
64,roc,76,2,76,80,31,81,3,30,3,76
64,rs,76,2,76,80,31,81,3,37,3,76
64,equal,34,2,76,34,31,83,34,20,3,80
64,legacy,34,2,76,34,31,81,34,30,3,71
84,roc,42,2,42,46,23,43,3,94,3,42
84,rs,42,2,42,63,23,87,3,94,3,42
84,equal,23,2,42,90,23,43,63,23,63,46
84,legacy,90,2,42,90,23,71,63,19,90,53
99,roc,30,2,30,53,91,18,4,37,4,30
99,rs,30,2,30,53,91,18,4,27,4,30
99,equal,30,1,30,69,91,18,88,43,50,53
99,legacy,30,2,30,69,91,18,88,27,11,30
