image_id,degradation_type,pareto_size,processing_time,compromise_H,compromise_SSIM,compromise_VIF,compromise_Rx,compromise_Ry,compromise_Clip,consensus_index,consensus_votes,consensus_total,entropy_improvement,contrast_improvement,val_ssim_degraded,val_ssim_enhanced,val_ssim_recovery,val_vif_degraded,val_vif_enhanced,val_vif_recovery,SMARTER_selection,TOPSIS_selection,BellmanZadeh_selection,PROMETHEEII_selection,GRA_selection,VIKOR_selection,CODAS_selection,MABAC_selection
406,skewed_histogram,100,1076.5714738368988,7.741755080055853,0.9400817401742824,1.02990448515,2.0,5.0,1.1620440181249083,92,3,8,0.6318560725279072,0.05885154108497054,0.8051851581385988,0.8394034631980316,0.034218305059432796,0.91949102427205,1.0918757921012818,0.17238476782923184,92,92,53,25,2,58,2,92
435,low_contrast,100,760.0224251747131,7.534022175320493,0.6813533055517045,1.7437714772883564,4.0,2.0,3.9982847337900527,2,5,8,1.6884470724526306,0.2743233638012991,0.7435078550559239,0.8154484139160277,0.07194055886010386,0.4072465999491545,0.9666680685094684,0.5594214685603138,2,20,10,2,2,2,0,2
436,skewed_histogram,100,1111.7574367523193,7.51457962138422,0.7595218552031775,1.0207320921755016,3.0,5.0,1.7102979371251823,33,3,8,0.7954576221648484,0.10078906024044282,0.7379022756813508,0.9213285724338044,0.1834262967524536,0.8512082714293377,1.1198803282932022,0.2686720568638644,33,22,70,65,4,33,4,33
451,overexposure,100,1116.1429347991943,7.671663398055791,0.9447989746294416,1.051286752269778,3.0,2.0,1.020704925972444,1,5,8,0.5901044322806621,0.06657070365577689,0.754488096679943,0.8134234163191575,0.0589353196392145,0.8576288429432937,1.0279467044477468,0.17031786150445316,1,1,63,75,1,63,1,1
456,underexposure,100,1128.5818741321564,5.668801104812407,0.4430801734503689,1.1877365523303252,6.0,6.0,2.637292229856921,3,5,8,1.136721903916392,0.1016249456015268,0.2694787431163709,0.5512546646712185,0.28177592155484765,0.5747340594352741,0.8762512166572276,0.3015171572219535,3,96,41,2,3,3,3,3
469,skewed_histogram,100,1240.280063867569,7.720172421277059,0.9474490603517296,0.982433272731624,8.0,2.0,1.1609896302310057,41,2,8,0.6537821100414867,0.04498855879443153,0.8529647055350786,0.8699540055460537,0.016989300010975095,0.9424014336916386,1.0821776766181963,0.13977624292655766,41,99,24,46,7,84,7,41
472,low_contrast,100,1384.9305350780487,7.463601439949678,0.7044863380208178,1.825231554924432,5.0,2.0,3.9469771450615374,97,4,8,1.7098060387209326,0.2530847348224729,0.7462850046955685,0.8398330252899638,0.09354802059439538,0.3560172478524147,0.8947122824185372,0.5386950345661226,97,58,35,97,97,50,0,97
477,underexposure,100,1626.5718204975128,3.506780947472709,0.5574493182290535,1.0359683886079225,40.0,13.0,1.1951547789558383,34,4,8,0.29287135861981106,0.03537668642516367,0.13099985793194016,0.2406026562454312,0.10960279831349104,0.3361664190965139,0.3959917805540322,0.05982536145751832,34,39,88,39,34,34,4,34
48,poor_local_contrast,100,1277.39195728302,7.827052497186703,0.902857480489206,1.0059160489311296,4.0,2.0,1.4669049827895568,89,2,8,0.3437345722059888,0.11189902400734064,0.9868285600651853,0.9306709031027762,-0.05615765696240904,0.8018024328107575,0.9514061726632205,0.149603739852463,89,66,85,50,0,50,0,89
49,skewed_histogram,100,1129.3449993133545,7.334310895214776,0.8436472515378051,1.0399931308968968,3.0,3.0,1.2858442682847444,69,3,8,0.6293289454791937,0.07632910417522482,0.763323882952994,0.9271912464854953,0.1638673635325013,0.8592652150356804,1.0803412441934477,0.22107602915776725,69,69,42,7,3,26,3,69
