image_id,degradation_type,pareto_size,processing_time,compromise_H,compromise_SSIM,compromise_VIF,compromise_Rx,compromise_Ry,compromise_Clip,consensus_votes,consensus_total,entropy_improvement,contrast_improvement,val_ssim_degraded,val_ssim_enhanced,val_ssim_recovery,val_vif_degraded,val_vif_enhanced,val_vif_recovery,SMARTER_selection,TOPSIS_selection,BellmanZadeh_selection,PROMETHEEII_selection,GRA_selection,VIKOR_selection,CODAS_selection,MABAC_selection
516,poor_local_contrast,100,1338.610249042511,7.9063831076515685,0.8966417850534962,0.9119822008480295,4.0,2.0,1.6636402037973896,3,8,0.29695044099934886,0.10670167894528226,0.9888090738948754,0.9217108492102205,-0.06709822468465487,0.8274858754247693,0.9355919653660724,0.10810608994130311,7,11,98,7,11,54,3,7
308,poor_local_contrast,100,1337.4262416362762,7.868693723096415,0.8958182443693344,0.9709191050333675,4.0,2.0,1.5099282327317667,3,8,0.30950877381479547,0.10012411113838598,0.9900338966937946,0.9266699146631834,-0.06336398203061122,0.8353397940524587,0.9777790463560763,0.14243925230361754,33,3,32,30,3,93,3,33
1,overexposure,100,1336.2462396621704,7.813407502436808,0.9153486158913943,1.0020890503223854,4.0,2.0,1.5774816910295528,2,8,0.7457802950991868,0.09572185668241712,0.8872073769454611,0.889211909208273,0.002004532262811831,0.9549597367229812,1.1421579559659458,0.18719821924296465,50,85,31,9,4,40,4,50
206,overexposure,100,1342.4816093444824,7.799148657069069,0.9190259035617607,1.0173672165487608,4.0,3.0,1.4436530537535537,2,8,0.8368452955302743,0.07097562536366414,0.811006728009133,0.8258317781607756,0.014825050151642594,0.9408316640450946,1.1262977479151488,0.18546608387005425,59,93,75,35,7,75,7,59
159,underexposure,100,1349.308972120285,3.135334069799238,0.5688037359510301,1.113887638111882,39.0,7.0,1.8152631439563347,4,8,0.3956754097062345,0.02996595714613992,0.10057796094764328,0.2409201884566741,0.1403422275090308,0.2778621245318149,0.34628630308928415,0.06842417855746924,80,24,65,53,80,80,49,80
593,low_contrast,100,1345.5268630981445,7.434552323438333,0.8531778869399883,1.346340154968233,4.0,2.0,1.9187927225643981,2,8,0.986551406725197,0.16206559726612005,0.8285893302795022,0.8830786309913797,0.05448930071187752,0.5629939835068076,0.9394748575211165,0.37648087401430885,55,54,48,0,0,26,67,55
470,low_contrast,100,1342.268260717392,7.215997754732799,0.8456268147242929,1.5490955628320766,5.0,2.0,2.065744482581028,2,8,1.1358995539938688,0.1620148324439932,0.7563383085298252,0.8459472092680738,0.08960890073824856,0.4133128363324957,0.8185028650187054,0.4051900286862097,57,15,47,0,0,58,5,57
345,overexposure,100,1346.198246717453,7.87769835314901,0.9164392605026874,0.9467734758968973,2.0,2.0,1.5426183990902556,3,8,0.6817309660706812,0.0973378878917614,0.8483290437778178,0.8677814204479516,0.019452376670133775,0.8928109488253875,1.0679793076373056,0.17516835881191817,10,40,20,10,4,55,4,10
107,low_contrast,100,1348.314920425415,7.546766264499326,0.8845055696497032,1.2552192697414237,2.0,5.0,1.6020345274578425,2,8,0.9404475301430297,0.14751728828206442,0.8383814492389235,0.8743278721519051,0.03594642291298156,0.6413157745853525,0.9478636520119686,0.30654787742661616,44,28,50,21,75,53,83,44
339,underexposure,100,1494.0119743347168,4.448396529173438,0.6108252180975253,1.0161731714377678,18.0,8.0,1.673381384042045,2,8,0.9765946402415993,0.06416914745645197,0.22897687875457515,0.41488703521977616,0.185910156465201,0.48810644380841794,0.5853759306300319,0.09726948682161396,67,43,54,39,28,41,43,67
53,poor_local_contrast,100,1337.5554025173187,7.930227967681204,0.9031830977986619,0.9745014379634449,2.0,2.0,1.5768213694682847,3,8,0.2592574776206886,0.09660699253887733,0.9881446793784383,0.9226978206005052,-0.0654468587779331,0.8182100622461873,0.9316392463906498,0.11342918414446246,99,40,49,46,40,74,40,99
476,low_contrast,100,1336.237875699997,7.007696184621873,0.8630165988706072,1.658277766280503,2.0,5.0,2.0394988842351074,3,8,1.1498250185964896,0.14349688947232916,0.7801112752474911,0.8592505045549528,0.07913922930746164,0.3758999212208569,0.7935192226404016,0.41761930141954473,57,26,26,1,1,52,1,57
170,underexposure,99,1338.1482095718384,4.248152614220947,0.6233979690343774,1.0315774299340241,13.0,8.0,1.3934033711273366,4,8,0.3959375604577082,0.04252817856030189,0.20377853672729015,0.35049876293375254,0.14672022620646238,0.46108128428357614,0.5630992069019763,0.1020179226184002,58,4,33,7,58,58,4,58
76,low_contrast,100,1341.8641982078552,7.273257741579878,0.8568145773198242,1.5777033430999763,2.0,5.0,2.026951471562103,2,8,1.1133591884064646,0.16550787007744178,0.7709773682133407,0.8532713313648319,0.08229396315149118,0.40593028617911453,0.8226633527653942,0.4167330665862796,32,41,67,0,0,69,94,32
531,overexposure,100,1338.0603880882263,7.7500136935574595,0.8919061262044511,1.0145226548787896,5.0,2.0,1.4734480207803262,3,8,0.883268021713782,0.10661493676895112,0.7203663561954484,0.7846707946263295,0.06430443843088107,0.8152655646289492,1.065541931773741,0.25027636714479173,25,66,19,46,66,25,66,25
459,low_contrast,100,1341.674616098404,7.038735878530584,0.8456815085951697,1.6983219581388593,2.0,2.0,2.229767307675044,2,8,1.3340832173813268,0.17746437345236568,0.7361940208731778,0.82387263159696,0.08767861072378225,0.3585169830669388,0.7506768292855005,0.3921598462185617,61,12,30,3,7,63,7,61
497,low_contrast,100,1339.9481387138367,7.104554308922034,0.8446356249858484,1.5224321106936687,5.0,2.0,2.229193127829892,2,8,1.3623891139048512,0.15239106443324488,0.7259947098432012,0.8029181065662353,0.07692339672303405,0.42820065856223966,0.8298543552175112,0.4016536966552715,6,41,42,0,0,64,40,6
462,poor_local_contrast,100,1333.2539691925049,7.807630365392585,0.9129814130930296,0.9458379690649953,2.0,3.0,1.5820266724483232,3,8,0.17293215706800424,0.0521773807812963,0.9836184394576966,0.9274003868136408,-0.05621805264405577,0.7796191932608194,0.8895918258042791,0.10997263254345968,19,32,56,19,0,72,0,19
330,underexposure,100,1344.991605758667,3.936011152304749,0.5955985868094211,1.0622182036581431,12.0,5.0,1.558072890170383,4,8,0.9637490141236467,0.04773888110618063,0.1572664731661757,0.31180103677052007,0.15453456360434437,0.3964826863840884,0.508058515383705,0.11157582899961654,97,80,83,51,97,97,80,97
355,skewed_histogram,100,1343.719583272934,7.802367272059728,0.9075227210806057,1.0156352983611456,4.0,2.0,1.4670840035110708,3,8,0.667317057940835,0.06120068628898667,0.826544361147281,0.8603473383466298,0.03380297719934877,0.9030464079842423,1.1262100391788503,0.22316363119460803,19,19,77,72,3,28,3,19
