image_id,a,b,methods_a,methods_b,ssim_ab,mae
169,48,55,VIKOR,SMARTER+MABAC,0.9954311671381284,3.7050561152621264
169,48,85,VIKOR,GRA,0.9940434459524207,4.587819332588192
169,48,97,VIKOR,TOPSIS,0.9979317292011002,1.1415561076065655
169,55,85,SMARTER+MABAC,GRA,0.9980559763948326,0.9082303979360608
169,55,97,SMARTER+MABAC,TOPSIS,0.993579162011334,4.833329824534542
169,85,97,GRA,TOPSIS,0.9917141334941271,5.716552375520578
170,3,33,CODAS,BellmanZadeh,0.9968269744680981,1.2700561344010288
170,3,35,CODAS,VIKOR,0.97879480023844,2.542907505512004
170,3,38,CODAS,PROMETHEEII,0.939205727854775,4.897003039257717
170,3,58,CODAS,SMARTER+TOPSIS+MABAC,0.9963019270568386,1.5910447161317982
170,3,61,CODAS,GRA,0.9961453916622817,1.6538160100747183
170,33,35,BellmanZadeh,VIKOR,0.9828043289755946,1.5126685180365018
170,33,38,BellmanZadeh,PROMETHEEII,0.9505445033895326,4.04230223772048
170,33,58,BellmanZadeh,SMARTER+TOPSIS+MABAC,0.9981262082296007,1.016337445645517
170,33,61,BellmanZadeh,GRA,0.998334909611238,0.8132674699902008
170,35,38,VIKOR,PROMETHEEII,0.9687405642556721,3.290996486097501
170,35,58,VIKOR,SMARTER+TOPSIS+MABAC,0.9832606663323579,1.4087304017638413
170,35,61,VIKOR,GRA,0.9834629924528936,1.2535756254593338
170,38,58,PROMETHEEII,SMARTER+TOPSIS+MABAC,0.9508227589022885,3.724656265311122
170,38,61,PROMETHEEII,GRA,0.9508335255057225,3.756619667901764
170,58,61,SMARTER+TOPSIS+MABAC,GRA,0.9988325809335646,0.5778919838620774
171,2,4,CODAS,SMARTER+PROMETHEEII+GRA+VIKOR+MABAC,0.9882507556697931,7.875500482300343
171,2,54,CODAS,BellmanZadeh,0.9445470384353937,17.710497305242527
171,2,88,CODAS,TOPSIS,0.9978937040006837,2.3710439888535033
171,4,54,SMARTER+PROMETHEEII+GRA+VIKOR+MABAC,BellmanZadeh,0.9551058327538728,15.126254555058795
171,4,88,SMARTER+PROMETHEEII+GRA+VIKOR+MABAC,TOPSIS,0.9894239578437136,7.670047234811367
171,54,88,BellmanZadeh,TOPSIS,0.9568172323422581,15.477991219071534
191,62,63,BellmanZadeh,TOPSIS,0.9896609999527097,3.556023873866977
191,62,68,BellmanZadeh,PROMETHEEII,0.8356025547372995,18.266054189888536
191,62,69,BellmanZadeh,CODAS,0.9888253723875511,3.334617394200147
191,62,77,BellmanZadeh,SMARTER+GRA+VIKOR+MABAC,0.9774584348277015,5.27738250627756
191,63,68,TOPSIS,PROMETHEEII,0.7986384845719321,21.09307726757717
191,63,69,TOPSIS,CODAS,0.979575277239258,5.9405851910828025
191,63,77,TOPSIS,SMARTER+GRA+VIKOR+MABAC,0.9632275184246641,8.006772300649192
191,68,69,PROMETHEEII,CODAS,0.8690130861935905,15.193435930609995
191,68,77,PROMETHEEII,SMARTER+GRA+VIKOR+MABAC,0.9035619112399597,13.158410782092112
191,69,77,CODAS,SMARTER+GRA+VIKOR+MABAC,0.9907460216728814,2.074235975012249
194,4,12,GRA+CODAS,VIKOR,0.9972953660127933,1.9043801292258697
194,4,15,GRA+CODAS,PROMETHEEII,0.9617314106659828,18.974108414227093
194,4,30,GRA+CODAS,SMARTER+TOPSIS+MABAC,0.9992640939152333,0.08825665651028908
194,4,60,GRA+CODAS,BellmanZadeh,0.9873780753927369,10.099221333751837
194,12,15,VIKOR,PROMETHEEII,0.9664366675074656,17.23732574029275
194,12,30,VIKOR,SMARTER+TOPSIS+MABAC,0.9972894547711999,1.829696782367712
194,12,60,VIKOR,BellmanZadeh,0.9913358774270272,8.29130988562592
194,15,30,PROMETHEEII,SMARTER+TOPSIS+MABAC,0.9620236111653693,18.885851757716807
194,15,60,PROMETHEEII,BellmanZadeh,0.9833155939086319,9.643650860485057
194,30,60,SMARTER+TOPSIS+MABAC,BellmanZadeh,0.9874594345883976,10.010964677241548
196,6,16,VIKOR,SMARTER+GRA+MABAC,0.9663424709130696,13.820877576096276
196,6,51,VIKOR,CODAS,0.9485978497188174,17.02051977431406
196,6,60,VIKOR,BellmanZadeh,0.9807309021383244,9.936983728105096
196,6,91,VIKOR,PROMETHEEII,0.9438088070859709,14.014864228625674
196,6,99,VIKOR,TOPSIS,0.9533958463395863,16.160848599797895
196,16,51,SMARTER+GRA+MABAC,CODAS,0.9938220696201849,3.506914407000245
196,16,60,SMARTER+GRA+MABAC,BellmanZadeh,0.9821500207178716,5.810969844745223
196,16,91,SMARTER+GRA+MABAC,PROMETHEEII,0.8687964706125261,26.606097941419648
196,16,99,SMARTER+GRA+MABAC,TOPSIS,0.9948228216233439,2.7473502189490446
196,51,60,CODAS,BellmanZadeh,0.9709855618455662,8.601999345449535
196,51,91,CODAS,PROMETHEEII,0.8420404516159837,29.713532735178834
196,51,99,CODAS,TOPSIS,0.99817008683709,0.8679564054078883
196,60,91,BellmanZadeh,PROMETHEEII,0.9195494832796516,22.045373074626408
196,60,99,BellmanZadeh,TOPSIS,0.9737226017319989,7.922367826739343
196,91,99,PROMETHEEII,TOPSIS,0.8487540343262684,28.880656981106075
205,21,35,SMARTER+TOPSIS+GRA+CODAS+MABAC,PROMETHEEII,0.9645931235950942,12.468524070945946
205,21,46,SMARTER+TOPSIS+GRA+CODAS+MABAC,BellmanZadeh,0.9755895699847653,9.37508762668919
205,21,60,SMARTER+TOPSIS+GRA+CODAS+MABAC,VIKOR,0.9986388605177163,0.28252428209459457
205,35,46,PROMETHEEII,BellmanZadeh,0.9885642430077874,6.501986908783784
205,35,60,PROMETHEEII,VIKOR,0.9657700213672988,12.218110219594594
205,46,60,BellmanZadeh,VIKOR,0.9766445474825117,9.133318201013514
206,5,23,GRA+CODAS,PROMETHEEII,0.9808492672915393,7.517879084241793
206,5,66,GRA+CODAS,TOPSIS,0.9971448475080081,1.880514874755022
206,5,75,GRA+CODAS,BellmanZadeh,0.9840779008507259,5.551370728196963
206,5,77,GRA+CODAS,SMARTER+MABAC,0.9953409079329356,3.2443521098726116
206,5,91,GRA+CODAS,VIKOR,0.9876850764216477,5.983118052578393
206,23,66,PROMETHEEII,TOPSIS,0.9856110608875697,6.003039736189368
206,23,75,PROMETHEEII,BellmanZadeh,0.9867374132808322,6.132458908776335
206,23,77,PROMETHEEII,SMARTER+MABAC,0.9908408160500158,4.441419168759187
206,23,91,PROMETHEEII,VIKOR,0.997215344663286,1.6315129685203331
206,66,75,TOPSIS,BellmanZadeh,0.9888038932042895,4.879594293544831
206,66,77,TOPSIS,SMARTER+MABAC,0.9972682995160105,1.6103577826433122
206,66,91,TOPSIS,VIKOR,0.9914592882927278,4.426374077504899
206,75,77,BellmanZadeh,SMARTER+MABAC,0.9897223984304955,4.392358027621264
206,75,91,BellmanZadeh,VIKOR,0.9895127472718197,5.129343095449535
206,77,91,SMARTER+MABAC,VIKOR,0.9952922828120316,2.84613518572391
21,4,13,TOPSIS+PROMETHEEII+GRA+CODAS,BellmanZadeh,0.9827990443176075,7.093229421852033
21,4,65,TOPSIS+PROMETHEEII+GRA+CODAS,VIKOR,0.9905600807303462,5.296818540237629
21,4,88,TOPSIS+PROMETHEEII+GRA+CODAS,SMARTER+MABAC,0.995912457791566,2.6426671208966193
21,13,65,BellmanZadeh,VIKOR,0.9958143670069529,2.36218267699657
21,13,88,BellmanZadeh,SMARTER+MABAC,0.9875101780547154,6.401444221582557
21,65,88,VIKOR,SMARTER+MABAC,0.9924554338775315,5.298426208047526
216,0,22,PROMETHEEII,CODAS,0.902811929130882,13.624710045627143
216,0,49,PROMETHEEII,BellmanZadeh,0.869735074698876,18.435277973419893
216,0,75,PROMETHEEII,TOPSIS,0.8651515455233808,17.22159451938388
216,0,78,PROMETHEEII,SMARTER+GRA+VIKOR+MABAC,0.96617808693681,7.47045910399314
216,22,49,CODAS,BellmanZadeh,0.9831146618585413,5.243504256491915
216,22,75,CODAS,TOPSIS,0.9877572190998972,3.8681554499938757
216,22,78,CODAS,SMARTER+GRA+VIKOR+MABAC,0.9716569107752547,6.564856955842724
216,49,75,BellmanZadeh,TOPSIS,0.9899692890847802,2.921633371355953
216,49,78,BellmanZadeh,SMARTER+GRA+VIKOR+MABAC,0.9476540821153088,11.478380695737384
216,75,78,TOPSIS,SMARTER+GRA+VIKOR+MABAC,0.9499666471320353,10.24723682095174
233,2,34,TOPSIS+GRA+CODAS,BellmanZadeh,0.9746695908003873,12.440531602155806
233,2,36,TOPSIS+GRA+CODAS,SMARTER+PROMETHEEII+VIKOR+MABAC,0.9899446294242672,7.6626897622182755
233,34,36,BellmanZadeh,SMARTER+PROMETHEEII+VIKOR+MABAC,0.9811751460510197,8.824853683090398
24,2,5,GRA,PROMETHEEII,0.839824408431691,34.32551684606198
24,2,25,GRA,TOPSIS+CODAS,0.9952674640364186,2.7947501033500735
24,2,55,GRA,VIKOR,0.9775726270762612,9.558452600594071
24,2,91,GRA,SMARTER+MABAC,0.9941601291313823,4.032780155254777
24,2,92,GRA,BellmanZadeh,0.977749116151197,9.29533862460191
24,5,25,PROMETHEEII,TOPSIS+CODAS,0.8486477137601696,32.28783186856933
24,5,55,PROMETHEEII,VIKOR,0.9091252489639121,24.951151779152376
24,5,91,PROMETHEEII,SMARTER+MABAC,0.8605012256672273,30.65238824794831
24,5,92,PROMETHEEII,BellmanZadeh,0.899584125214687,25.613692736403724
24,25,55,TOPSIS+CODAS,VIKOR,0.9776501957484228,8.483802746815286
24,25,91,TOPSIS+CODAS,SMARTER+MABAC,0.9976802458248463,1.650913595510779
24,25,92,TOPSIS+CODAS,BellmanZadeh,0.9820712141793978,7.550320002449779
24,55,91,VIKOR,SMARTER+MABAC,0.9818480438757096,7.206348469653356
24,55,92,VIKOR,BellmanZadeh,0.9885367043423956,5.140386720663891
24,91,92,SMARTER+MABAC,BellmanZadeh,0.9861660230985706,6.135239791309407
240,4,28,GRA+CODAS,VIKOR,0.9797868732242944,9.017436497121508
240,4,39,GRA+CODAS,BellmanZadeh,0.9867461521998078,7.612554450177609
240,4,53,GRA+CODAS,SMARTER+MABAC,0.9888484107603915,6.453668544830966
240,4,55,GRA+CODAS,PROMETHEEII,0.9521569167480408,13.246562174638658
240,4,80,GRA+CODAS,TOPSIS,0.993157239227306,5.0709957588192065
240,28,39,VIKOR,BellmanZadeh,0.9971465080919857,1.8930254968459088
240,28,53,VIKOR,SMARTER+MABAC,0.9939985577243764,4.567220610301323
240,28,55,VIKOR,PROMETHEEII,0.9895551729561495,5.071417293146742
240,28,80,VIKOR,TOPSIS,0.9906588344991638,5.545493171239588
240,39,53,BellmanZadeh,SMARTER+MABAC,0.9961112682212813,3.709213563357423
240,39,55,BellmanZadeh,PROMETHEEII,0.9825311709383071,6.927376477523273
240,39,80,BellmanZadeh,TOPSIS,0.9947959154455064,4.19183065516291
240,53,55,SMARTER+MABAC,PROMETHEEII,0.976955887151909,8.451118764545566
240,53,80,SMARTER+MABAC,TOPSIS,0.997192507893097,1.8775359045810878
240,55,80,PROMETHEEII,TOPSIS,0.9686116676278327,9.983537194543116
26,0,4,PROMETHEEII,SMARTER+GRA+VIKOR+CODAS+MABAC,0.9619922561326144,16.269856132869915
26,0,43,PROMETHEEII,TOPSIS,0.9247493849998975,24.18799426215703
26,0,57,PROMETHEEII,BellmanZadeh,0.9304811102804077,22.971260067062715
26,4,43,SMARTER+GRA+VIKOR+CODAS+MABAC,TOPSIS,0.9877371380825157,7.987784595480157
26,4,57,SMARTER+GRA+VIKOR+CODAS+MABAC,BellmanZadeh,0.9899498030895317,6.821807726757717
26,43,57,TOPSIS,BellmanZadeh,0.9980561051125817,1.225366797066389
260,2,65,SMARTER+GRA+CODAS+MABAC,TOPSIS,0.9836727539195377,8.316125865078392
260,2,75,SMARTER+GRA+CODAS+MABAC,VIKOR,0.9854629729326112,7.82316658883513
260,2,80,SMARTER+GRA+CODAS+MABAC,BellmanZadeh,0.9608070203508743,14.049354923291279
260,2,99,SMARTER+GRA+CODAS+MABAC,PROMETHEEII,0.9830977649848649,9.978353422801323
260,65,75,TOPSIS,VIKOR,0.9975445313270447,1.7633900546607055
260,65,80,TOPSIS,BellmanZadeh,0.9863342805279645,8.722981132869917
260,65,99,TOPSIS,PROMETHEEII,0.9861111506924312,8.465382031632778
260,75,80,VIKOR,BellmanZadeh,0.9811764934245867,10.476338574840764
260,75,99,VIKOR,PROMETHEEII,0.9902776864002405,6.711248507165605
260,80,99,BellmanZadeh,PROMETHEEII,0.9535661758818864,17.178412849093583
264,0,48,GRA+CODAS,BellmanZadeh,0.9720867368494934,12.436262669953454
264,0,66,GRA+CODAS,VIKOR,0.9818421284880691,8.260885250796179
264,0,85,GRA+CODAS,PROMETHEEII,0.9899552608042357,5.979698409174424
264,0,99,GRA+CODAS,SMARTER+TOPSIS+MABAC,0.9936440584076283,4.205350854360607
264,48,66,BellmanZadeh,VIKOR,0.9837123841048315,7.840086814061735
264,48,85,BellmanZadeh,PROMETHEEII,0.9825635353451676,8.56829908745713
264,48,99,BellmanZadeh,SMARTER+TOPSIS+MABAC,0.9796586618237667,9.709721222746202
264,66,85,VIKOR,PROMETHEEII,0.9835381528054339,6.938913407949535
264,66,99,VIKOR,SMARTER+TOPSIS+MABAC,0.9844653769398509,7.197440745957864
264,85,99,PROMETHEEII,SMARTER+TOPSIS+MABAC,0.9964794083680422,2.041307493263106
279,1,30,SMARTER+GRA+VIKOR+MABAC,PROMETHEEII,0.9424443822034059,5.162934261697697
279,1,36,SMARTER+GRA+VIKOR+MABAC,TOPSIS,0.9144803977785664,6.693241670749632
279,1,47,SMARTER+GRA+VIKOR+MABAC,CODAS,0.9681978688246692,4.474583059009064
279,1,55,SMARTER+GRA+VIKOR+MABAC,BellmanZadeh,0.9200845014269416,6.177078867589417
279,30,36,PROMETHEEII,TOPSIS,0.7820933664634897,11.137827849399804
279,30,47,PROMETHEEII,CODAS,0.8657825787905358,9.057213356657275
279,30,55,PROMETHEEII,BellmanZadeh,0.7891743761773241,10.622896634615385
279,36,47,TOPSIS,CODAS,0.974023923158516,2.355464443746938
279,36,55,TOPSIS,BellmanZadeh,0.9976907914944575,0.8797780270088192
279,47,55,CODAS,BellmanZadeh,0.9756836561874268,1.8919958238914747
286,3,24,GRA+CODAS,PROMETHEEII,0.9746036587570186,8.402466717448554
286,3,38,GRA+CODAS,SMARTER+TOPSIS+MABAC,0.9919336706437034,4.520144651825086
286,3,58,GRA+CODAS,BellmanZadeh,0.9775772337107881,8.469991636299609
286,3,88,GRA+CODAS,VIKOR,0.985254301839458,6.193567032092112
286,24,38,PROMETHEEII,SMARTER+TOPSIS+MABAC,0.9803819240661141,7.163994078423567
286,24,58,PROMETHEEII,BellmanZadeh,0.9860326726203495,8.412792633819207
286,24,88,PROMETHEEII,VIKOR,0.990792962728806,6.327715905959089
286,38,58,SMARTER+TOPSIS+MABAC,BellmanZadeh,0.9846181788501515,7.358910403141842
286,38,88,SMARTER+TOPSIS+MABAC,VIKOR,0.9873250259403632,6.230498415298873
286,58,88,BellmanZadeh,VIKOR,0.9934249164896081,5.1809339210252325
29,2,8,GRA+CODAS,PROMETHEEII,0.9389464470041722,14.67560922549681
29,2,38,GRA+CODAS,BellmanZadeh,0.9861359154408115,5.756722372577282
29,2,49,GRA+CODAS,SMARTER+TOPSIS+MABAC,0.996759353750271,2.0006387427931798
29,2,76,GRA+CODAS,VIKOR,0.9930424177347559,3.9038291983562314
29,8,38,PROMETHEEII,BellmanZadeh,0.9720112503362174,10.748834641805692
29,8,49,PROMETHEEII,SMARTER+TOPSIS+MABAC,0.9521377664477736,13.164583844455349
29,8,76,PROMETHEEII,VIKOR,0.9628824649097532,11.850544249110648
29,38,49,BellmanZadeh,SMARTER+TOPSIS+MABAC,0.9922613468507028,3.9942767112365063
29,38,76,BellmanZadeh,VIKOR,0.9958166892089264,2.80018563312684
29,49,76,SMARTER+TOPSIS+MABAC,VIKOR,0.9969046103175696,1.915710389321639
291,1,5,PROMETHEEII,SMARTER+GRA+CODAS+MABAC,0.9034513386941898,19.242108552027194
291,1,17,PROMETHEEII,VIKOR,0.9588161580785561,10.530082526947576
291,1,24,PROMETHEEII,TOPSIS,0.904913413134635,19.031169138136942
291,1,59,PROMETHEEII,BellmanZadeh,0.9602428080932034,10.221134228778785
291,5,17,SMARTER+GRA+CODAS+MABAC,VIKOR,0.977356288358005,8.960901614557814
291,5,24,SMARTER+GRA+CODAS+MABAC,TOPSIS,0.9985511372288945,0.22694049332435082
291,5,59,SMARTER+GRA+CODAS+MABAC,BellmanZadeh,0.9759929077663391,9.262608708966193
291,17,24,VIKOR,TOPSIS,0.9782000575258316,8.749648322666586
291,17,59,VIKOR,BellmanZadeh,0.9985169762891872,0.3244201869487996
291,24,59,TOPSIS,BellmanZadeh,0.9768686825590674,9.051805181283685
