image_id,scheme,consensus_index,consensus_votes,SMARTER_selection,TOPSIS_selection,BellmanZadeh_selection,PROMETHEEII_selection,GRA_selection,VIKOR_selection,CODAS_selection,MABAC_selection
499,equal,63,2,63,11,37,60,4,25,4,63
499,legacy,11,2,63,22,37,25,11,55,11,60
502,roc,2,4,2,11,74,0,2,12,2,2
502,rs,2,4,2,31,74,0,2,43,2,2
502,equal,0,2,2,50,74,0,0,83,30,37
502,legacy,2,2,2,74,74,0,0,46,2,37
516,roc,76,2,76,11,98,11,3,7,3,76
516,rs,76,2,76,11,98,76,3,69,3,7
516,equal,98,2,76,11,98,43,3,98,3,7
516,legacy,11,2,76,11,98,7,11,54,3,7
527,roc,54,2,54,99,35,3,1,8,1,54
527,rs,54,2,54,39,35,3,1,8,1,54
527,equal,54,2,54,39,35,3,1,35,39,54
527,legacy,54,2,54,39,35,3,1,68,65,54
53,roc,4,3,46,4,49,54,4,99,4,46
53,rs,4,3,46,4,49,46,4,74,4,99
53,equal,40,2,46,40,49,54,40,74,89,12
53,legacy,40,3,46,40,49,46,40,74,40,99
531,roc,25,2,25,81,19,48,66,38,4,25
531,rs,25,2,25,81,19,46,66,57,64,25
531,equal,66,3,25,66,19,48,66,49,66,85
531,legacy,25,3,25,66,19,46,66,25,66,25
534,roc,2,3,2,65,59,4,2,92,32,2
534,rs,59,2,2,59,59,4,16,39,38,32
534,equal,59,2,2,35,59,95,16,59,79,65
534,legacy,2,1,2,35,59,4,95,72,79,65
550,roc,0,3,0,52,29,4,0,22,2,0
550,rs,0,3,0,57,29,4,0,70,2,0
550,equal,0,2,0,14,29,4,0,29,1,40
550,legacy,4,2,0,87,29,4,4,11,33,40
552,roc,55,2,55,62,87,72,4,79,4,55
552,rs,55,1,55,62,87,64,75,68,4,93
552,equal,55,2,55,85,87,72,75,87,75,55
552,legacy,87,2,55,85,87,23,75,87,75,93
557,roc,77,2,77,89,11,4,2,67,38,77
557,rs,77,2,77,89,11,4,2,46,38,77
557,equal,11,3,77,28,11,19,38,11,29,11
557,legacy,11,3,77,28,11,42,38,11,29,11
568,roc,78,3,78,74,95,35,78,92,20,78
568,rs,78,3,78,74,95,84,78,92,26,78
568,equal,78,3,78,17,95,92,90,78,17,78
568,legacy,78,2,78,17,95,84,26,43,17,78
585,roc,37,3,37,58,36,37,0,74,74,37
585,rs,37,4,37,76,36,37,37,32,0,37
585,equal,37,2,37,23,36,3,37,95,74,19
585,legacy,37,2,37,61,36,3,37,95,90,65
592,roc,4,6,4,4,89,4,4,78,4,4
592,rs,4,4,4,4,89,51,4,20,4,51
592,equal,4,4,4,4,89,51,4,89,4,97
592,legacy,4,3,4,97,89,75,4,89,4,51
593,roc,2,2,2,60,48,0,40,85,85,2
593,rs,2,3,2,71,48,0,40,60,2,2
593,equal,2,1,2,82,48,0,84,37,74,55
593,legacy,0,2,2,54,48,0,0,26,67,55
595,roc,5,3,5,73,25,5,0,53,2,5
595,rs,5,4,5,47,25,5,5,32,0,5
595,equal,5,3,5,10,25,5,5,16,0,32
595,legacy,5,3,5,37,25,5,5,55,99,89
596,roc,52,2,52,23,21,41,4,41,4,52
596,rs,21,3,52,23,21,21,4,21,4,92
596,equal,23,3,52,23,21,41,23,21,23,52
596,legacy,23,3,52,23,21,14,23,43,23,19
6,roc,19,3,19,97,81,27,3,19,3,19
6,rs,19,4,19,55,81,27,19,19,70,19
6,equal,19,3,19,31,81,27,19,24,14,19
6,legacy,19,3,19,31,81,1,19,24,14,19
76,roc,1,4,1,65,67,0,1,65,1,1
76,rs,1,3,1,49,67,0,0,49,1,1
76,equal,1,2,1,59,67,0,0,99,1,49
76,legacy,0,2,1,41,67,0,0,69,94,32
90,roc,0,4,0,80,88,0,0,46,3,0
90,rs,0,4,0,80,88,0,0,71,3,0
90,equal,0,4,0,98,88,0,0,72,0,71
90,legacy,0,3,0,62,88,0,0,88,79,71
95,roc,6,3,28,15,6,6,15,6,3,28
95,rs,15,3,28,15,6,6,15,6,15,28
95,equal,28,2,28,15,6,67,3,6,3,28
95,legacy,6,4,28,15,6,6,15,6,3,6
